lang,subject,color,admiration,amusement,anger,compassion,contempt,contentment,disappointment,disgust,fear,guilt,hate,interest,joy,love,pleasure,pride,regret,relief,sadness,shame
cn,5543737e5c869,red,0,4,3,0,0,0,0,0,0,0,0,0,5,4,0,4,0,0,0,0
cn,5543737e5c869,turquoise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5543737e5c869,white,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cn,5543737e5c869,yellow,0,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0
cn,55649256a782d,black,0,0,2,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,2
cn,55649256a782d,blue,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,55649256a782d,brown,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,55649256a782d,green,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0
cn,55649256a782d,grey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,55649256a782d,orange,2,3,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0
cn,55649256a782d,pink,2,2,0,0,0,0,0,0,0,0,0,3,1,3,2,0,0,0,0,0
cn,55649256a782d,purple,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2
cn,55649256a782d,red,0,0,5,0,0,0,0,3,0,0,0,1,3,3,0,0,0,0,0,0
cn,55649256a782d,turquoise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
cn,55649256a782d,white,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
cn,55649256a782d,yellow,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0
cn,5564985409afb,black,0,0,0,0,0,0,3,4,4,3,3,0,0,0,0,0,0,0,0,0
cn,5564985409afb,blue,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
cn,5564985409afb,brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5564985409afb,green,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5564985409afb,grey,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,0
cn,5564985409afb,orange,0,1,0,0,0,4,0,0,0,0,0,1,1,0,1,4,0,0,0,0
cn,5564985409afb,pink,0,4,0,0,0,0,0,0,0,0,0,0,2,5,4,0,0,0,0,0
cn,5564985409afb,purple,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cn,5564985409afb,red,4,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
cn,5564985409afb,turquoise,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5564985409afb,white,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
cn,5564985409afb,yellow,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
cn,5564988710dce,black,0,0,0,0,0,0,5,4,5,0,0,0,0,0,0,0,0,0,5,0
cn,5564988710dce,blue,0,4,0,0,0,5,0,0,0,0,0,5,4,5,4,5,0,0,0,0
cn,5564988710dce,brown,0,0,4,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
cn,5564988710dce,green,0,5,0,0,0,4,0,0,0,0,0,0,5,5,5,0,0,0,0,0
cn,5564988710dce,grey,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,3,0,0
cn,5564988710dce,orange,0,4,0,0,0,3,0,0,0,0,0,4,4,4,4,0,0,0,0,0
cn,5564988710dce,pink,3,4,0,0,0,5,0,0,0,0,0,0,4,5,0,0,0,0,0,0
cn,5564988710dce,purple,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0
cn,5564988710dce,red,4,0,4,0,4,0,0,3,4,0,4,0,0,4,0,0,4,0,0,4
cn,5564988710dce,turquoise,0,0,4,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
cn,5564988710dce,white,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0
cn,5564988710dce,yellow,4,5,0,4,0,5,0,0,0,0,0,3,5,4,5,0,0,0,0,0
cn,556498d253543,black,0,0,3,0,0,0,0,4,5,0,5,0,0,0,0,0,0,0,5,0
cn,556498d253543,blue,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0
cn,556498d253543,brown,0,4,0,0,0,0,0,0,0,0,0,1,3,4,4,0,0,0,0,0
cn,556498d253543,green,0,3,0,0,0,4,0,0,0,0,0,0,3,0,3,0,0,4,0,0
cn,556498d253543,grey,0,0,2,3,0,0,0,0,0,0,5,0,0,0,0,0,0,2,5,0
cn,556498d253543,orange,2,5,0,0,0,4,0,0,0,0,0,0,5,2,5,4,0,0,0,0
cn,556498d253543,pink,2,4,0,0,0,5,0,0,0,0,0,4,4,5,4,0,0,0,0,0
cn,556498d253543,purple,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0
cn,556498d253543,red,5,5,0,0,0,3,0,0,0,0,0,5,5,5,5,5,0,0,0,0
cn,556498d253543,turquoise,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
cn,556498d253543,white,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0
cn,556498d253543,yellow,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0
cn,556499ef7c8ea,black,0,0,0,0,0,0,3,4,0,0,4,0,0,0,0,0,3,0,0,3
cn,556499ef7c8ea,blue,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
cn,556499ef7c8ea,brown,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
cn,556499ef7c8ea,green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0
cn,556499ef7c8ea,grey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
cn,556499ef7c8ea,orange,0,3,0,0,0,0,0,0,0,0,0,0,3,2,4,0,0,0,0,0
cn,556499ef7c8ea,pink,4,3,0,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0
cn,556499ef7c8ea,purple,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0
cn,556499ef7c8ea,red,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
cn,556499ef7c8ea,turquoise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
cn,556499ef7c8ea,white,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0
cn,556499ef7c8ea,yellow,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0
cn,55649a4bb58e9,black,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,3,0
cn,55649a4bb58e9,blue,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0
cn,55649a4bb58e9,brown,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,1,0
cn,55649a4bb58e9,green,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
cn,55649a4bb58e9,grey,0,0,0,0,0,0,3,3,3,4,2,0,0,0,0,0,4,0,3,0
cn,55649a4bb58e9,orange,3,5,0,0,0,5,0,0,0,0,0,4,5,2,5,3,0,0,0,0
cn,55649a4bb58e9,pink,3,3,0,0,0,4,0,0,0,0,0,4,3,3,3,0,0,0,0,0
cn,55649a4bb58e9,purple,0,0,1,0,3,0,0,2,1,0,4,0,0,0,0,0,0,0,1,0
cn,55649a4bb58e9,red,3,3,0,0,0,4,0,0,0,0,0,0,3,4,2,4,0,0,0,0
cn,55649a4bb58e9,turquoise,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
cn,55649a4bb58e9,white,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,4,0
cn,55649a4bb58e9,yellow,3,4,0,3,0,5,0,0,0,0,0,3,4,0,4,3,0,0,0,0
cn,55649f5c9a5a2,black,0,0,0,0,0,0,3,2,5,0,3,0,0,0,0,0,0,0,5,0
cn,55649f5c9a5a2,blue,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0
cn,55649f5c9a5a2,brown,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,55649f5c9a5a2,green,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
cn,55649f5c9a5a2,grey,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,4,0,0,5
cn,55649f5c9a5a2,orange,0,5,0,0,0,5,0,0,0,0,0,5,4,0,0,0,0,0,0,0
cn,55649f5c9a5a2,pink,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0
cn,55649f5c9a5a2,purple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
cn,55649f5c9a5a2,red,4,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0
cn,55649f5c9a5a2,turquoise,3,3,0,0,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0
cn,55649f5c9a5a2,white,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
cn,55649f5c9a5a2,yellow,0,4,0,0,0,5,0,0,0,0,0,0,4,0,4,4,0,0,0,0
cn,5564a503e7cc4,black,0,0,5,0,0,0,0,0,5,0,5,0,0,0,3,0,0,0,3,0
cn,5564a503e7cc4,blue,4,5,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5564a503e7cc4,brown,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,3,0
cn,5564a503e7cc4,green,0,3,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5564a503e7cc4,grey,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0
cn,5564a503e7cc4,orange,0,0,0,0,0,5,0,0,0,0,0,3,5,0,5,0,0,0,0,0
cn,5564a503e7cc4,pink,0,3,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0
cn,5564a503e7cc4,purple,3,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
cn,5564a503e7cc4,red,0,3,4,0,0,0,0,0,0,0,0,2,5,3,4,0,0,0,0,0
cn,5564a503e7cc4,turquoise,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5564a503e7cc4,white,0,0,0,4,2,0,0,0,5,4,0,0,0,0,0,0,0,0,5,0
cn,5564a503e7cc4,yellow,0,5,0,0,0,0,0,0,0,0,0,4,5,0,5,2,0,0,0,0
cn,5564a5923a54a,black,1,1,5,1,5,1,5,5,5,5,5,1,1,1,1,1,5,1,5,3
cn,5564a5923a54a,blue,4,4,1,5,1,5,1,1,1,5,1,3,5,2,5,4,1,5,5,1
cn,5564a5923a54a,brown,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
cn,5564a5923a54a,green,1,4,2,1,4,2,4,1,1,1,2,3,4,1,3,2,1,1,1,2
cn,5564a5923a54a,grey,1,1,1,4,1,1,5,1,1,5,1,1,1,1,1,1,5,4,5,5
cn,5564a5923a54a,orange,2,3,1,1,1,2,1,1,1,1,1,2,3,1,3,1,1,1,1,1
cn,5564a5923a54a,pink,4,4,1,1,1,4,1,1,1,1,1,4,4,4,4,3,1,2,1,1
cn,5564a5923a54a,purple,5,3,1,1,5,4,1,1,1,1,1,3,4,2,3,5,1,1,1,1
cn,5564a5923a54a,red,1,5,4,1,2,1,1,4,4,1,2,4,4,5,3,5,1,1,1,1
cn,5564a5923a54a,turquoise,2,3,1,5,1,2,1,1,1,3,1,2,2,2,2,2,3,3,4,2
cn,5564a5923a54a,white,1,1,1,3,1,1,3,1,5,2,1,1,1,1,1,1,5,3,4,2
cn,5564a5923a54a,yellow,5,5,1,5,1,5,1,1,1,4,1,5,5,3,5,3,2,2,5,3
cn,5564b778e6af4,black,0,0,5,0,0,0,0,3,5,0,4,0,0,0,0,0,0,0,3,0
cn,5564b778e6af4,blue,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,2
cn,5564b778e6af4,brown,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5564b778e6af4,green,5,0,0,4,0,0,0,0,0,0,0,5,5,0,5,0,0,0,0,0
cn,5564b778e6af4,grey,0,0,0,3,2,0,4,0,3,0,0,0,0,0,0,0,4,0,5,0
cn,5564b778e6af4,orange,4,5,0,0,0,3,0,0,0,0,0,4,5,0,0,3,0,0,0,0
cn,5564b778e6af4,pink,0,5,0,3,0,0,0,0,0,0,0,0,0,5,3,0,0,4,0,2
cn,5564b778e6af4,purple,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,0
cn,5564b778e6af4,red,3,4,5,3,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,4
cn,5564b778e6af4,turquoise,0,4,0,0,0,0,5,0,0,0,0,0,0,0,4,0,3,0,0,0
cn,5564b778e6af4,white,5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5564b778e6af4,yellow,0,4,0,0,0,0,3,5,0,0,5,0,0,0,0,0,0,0,0,2
cn,5564fa26624b5,black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5564fa26624b5,blue,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5564fa26624b5,brown,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5564fa26624b5,green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
cn,5564fa26624b5,grey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
cn,5564fa26624b5,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
cn,5564fa26624b5,pink,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0
cn,5564fa26624b5,purple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5564fa26624b5,red,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
cn,5564fa26624b5,turquoise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5564fa26624b5,white,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5564fa26624b5,yellow,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0
cn,5565089bda6fd,black,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0
cn,5565089bda6fd,blue,0,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0
cn,5565089bda6fd,brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5565089bda6fd,green,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0
cn,5565089bda6fd,grey,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5565089bda6fd,orange,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
cn,5565089bda6fd,pink,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
cn,5565089bda6fd,purple,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
cn,5565089bda6fd,red,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,0,0,0
cn,5565089bda6fd,turquoise,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0
cn,5565089bda6fd,white,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0
cn,5565089bda6fd,yellow,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
cn,55650abbd402c,black,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0
cn,55650abbd402c,blue,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0
cn,55650abbd402c,brown,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0
cn,55650abbd402c,green,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0
cn,55650abbd402c,grey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
cn,55650abbd402c,orange,0,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0
cn,55650abbd402c,pink,0,5,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0
cn,55650abbd402c,purple,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,5
cn,55650abbd402c,red,0,0,0,0,0,4,0,0,0,0,0,0,0,5,4,0,0,0,0,0
cn,55650abbd402c,turquoise,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,5
cn,55650abbd402c,white,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0
cn,55650abbd402c,yellow,0,3,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0
cn,55650da5c6cca,black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0
cn,55650da5c6cca,blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,55650da5c6cca,brown,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
cn,55650da5c6cca,green,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
cn,55650da5c6cca,grey,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0
cn,55650da5c6cca,orange,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,55650da5c6cca,pink,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
cn,55650da5c6cca,purple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
cn,55650da5c6cca,red,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
cn,55650da5c6cca,turquoise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,55650da5c6cca,white,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
cn,55650da5c6cca,yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
cn,55650db11e839,black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,55650db11e839,blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
cn,55650db11e839,brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,55650db11e839,green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,55650db11e839,grey,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,55650db11e839,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
cn,55650db11e839,pink,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
cn,55650db11e839,purple,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,55650db11e839,red,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
cn,55650db11e839,turquoise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,55650db11e839,white,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,55650db11e839,yellow,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,55650dd84fb03,black,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
cn,55650dd84fb03,blue,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0
cn,55650dd84fb03,brown,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,55650dd84fb03,green,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
cn,55650dd84fb03,grey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
cn,55650dd84fb03,orange,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
cn,55650dd84fb03,pink,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
cn,55650dd84fb03,purple,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
cn,55650dd84fb03,red,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
cn,55650dd84fb03,turquoise,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,55650dd84fb03,white,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,55650dd84fb03,yellow,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
cn,5565113fcbf7a,black,0,0,0,0,5,0,4,4,5,0,5,0,0,0,0,0,0,5,0,0
cn,5565113fcbf7a,blue,0,5,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,4,0,0
cn,5565113fcbf7a,brown,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5565113fcbf7a,green,0,5,0,0,0,4,0,0,0,0,0,4,4,0,4,0,0,0,0,0
cn,5565113fcbf7a,grey,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0
cn,5565113fcbf7a,orange,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5565113fcbf7a,pink,0,5,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0
cn,5565113fcbf7a,purple,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5565113fcbf7a,red,0,0,0,4,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0
cn,5565113fcbf7a,turquoise,0,4,0,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0
cn,5565113fcbf7a,white,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
cn,5565113fcbf7a,yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,556515d816a7a,black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,556515d816a7a,blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
cn,556515d816a7a,brown,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
cn,556515d816a7a,green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
cn,556515d816a7a,grey,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,556515d816a7a,orange,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
cn,556515d816a7a,pink,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,556515d816a7a,purple,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,556515d816a7a,red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,556515d816a7a,turquoise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
cn,556515d816a7a,white,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,556515d816a7a,yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
cn,5565165f36a22,black,0,0,5,0,0,0,5,5,5,0,5,0,0,0,0,0,0,0,0,0
cn,5565165f36a22,blue,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0
